Date,Amount LC,Scenario
2023-10-31,27.52988938656144,Scenario 3
2023-11-30,28.628332754412376,Scenario 3
2023-12-31,28.90585448249004,Scenario 3
2024-01-31,28.68708502143197,Scenario 3
2024-02-29,29.694820516177607,Scenario 3
2024-03-31,30.31014510352557,Scenario 3
2024-04-30,29.849843213763045,Scenario 3
2024-05-31,30.535528650361925,Scenario 3
2024-06-30,31.346869133864075,Scenario 3
2024-07-31,31.99627354577713,Scenario 3
2024-08-31,32.31788682193033,Scenario 3
2024-09-30,32.67769166948777,Scenario 3
2024-10-31,33.806833144464775,Scenario 3
2024-11-30,33.50912362239713,Scenario 3
2024-12-31,34.76059779502966,Scenario 3
2020-01-31,7.891194099885975,Scenario 4
2020-02-29,3.52278971595537,Scenario 4
2020-03-31,0.4494654227595136,Scenario 4
2020-04-30,10.080894471430009,Scenario 4
2020-05-31,3.154307810936838,Scenario 4
2020-06-30,5.5182517302085525,Scenario 4
2020-07-31,3.509523196157869,Scenario 4
2020-08-31,4.310175347267058,Scenario 4
2020-09-30,4.646131589622284,Scenario 4
2020-10-31,11.64415003406864,Scenario 4
2020-11-30,4.221489934240483,Scenario 4
2020-12-31,3.867936928720008,Scenario 4
2021-01-31,6.652012405961949,Scenario 4
2021-02-28,9.402996874439316,Scenario 4
2021-03-31,9.16665051212942,Scenario 4
2021-04-30,5.631186666599307,Scenario 4
2021-05-31,5.0427213378066185,Scenario 4
2021-06-30,4.383645681377987,Scenario 4
2021-07-31,9.551175335987416,Scenario 4
2021-08-31,1.846029616868716,Scenario 4
2021-09-30,10.52329511176557,Scenario 4
2021-10-31,9.144328316949217,Scenario 4
2021-11-30,5.500813377394572,Scenario 4
2021-12-31,2.464447492245812,Scenario 4
2022-01-31,9.614036000903836,Scenario 4
2022-02-28,5.35309972633747,Scenario 4
2022-03-31,9.916971935724112,Scenario 4
2022-04-30,7.888643423379689,Scenario 4
2022-05-31,11.665861316271574,Scenario 4
2022-06-30,8.200287905606249,Scenario 4
2022-07-31,7.474758378044419,Scenario 4
2022-08-31,7.552874338457254,Scenario 4
2022-09-30,7.212257949656658,Scenario 4
2022-10-31,10.28285265309266,Scenario 4
2022-11-30,5.764859710612856,Scenario 4
2022-12-31,10.153247898296272,Scenario 4
2023-01-31,12.762450626941176,Scenario 4
2023-02-28,12.159566805211307,Scenario 4
2023-03-31,9.770692763557404,Scenario 4
2023-04-30,7.508958015042154,Scenario 4
2023-05-31,11.268596106075382,Scenario 4
2023-06-30,7.000858068795876,Scenario 4
2023-07-31,7.654813643136734,Scenario 4
2023-08-31,10.372185117190412,Scenario 4
2023-09-30,9.42325833156999,Scenario 4
2023-10-31,8.89216574196291,Scenario 4
2023-11-30,12.436210985714492,Scenario 4
2023-12-31,7.882001112809352,Scenario 4
2024-01-31,13.77629526605591,Scenario 4
2024-02-29,11.796990490503388,Scenario 4
2024-03-31,12.439768004851686,Scenario 4
2024-04-30,14.808772941995835,Scenario 4
2024-05-31,7.757439478686893,Scenario 4
2024-06-30,7.754747523885975,Scenario 4
2024-07-31,12.111052636074776,Scenario 4
2024-08-31,14.267530704711406,Scenario 4
2024-09-30,8.18382806705598,Scenario 4
2024-10-31,14.413107625285928,Scenario 4
2024-11-30,10.479422191587238,Scenario 4
2024-12-31,12.122265277012897,Scenario 4
2020-01-31,10.0,Scenario 5
2020-02-29,10.0,Scenario 5
2020-03-31,10.0,Scenario 5
2020-04-30,10.0,Scenario 5
2020-05-31,10.0,Scenario 5
2020-06-30,10.0,Scenario 5
2020-07-31,6.0,Scenario 5
2020-08-31,6.0,Scenario 5
2020-09-30,6.0,Scenario 5
2020-10-31,6.0,Scenario 5
2020-11-30,6.0,Scenario 5
2020-12-31,6.0,Scenario 5
2021-01-31,7.0,Scenario 5
2021-02-28,7.0,Scenario 5
2021-03-31,7.0,Scenario 5
2021-04-30,7.0,Scenario 5
2021-05-31,7.0,Scenario 5
2021-06-30,7.0,Scenario 5
2021-07-31,7.0,Scenario 5
2021-08-31,7.0,Scenario 5
2021-09-30,7.0,Scenario 5
2021-10-31,7.0,Scenario 5
2021-11-30,7.0,Scenario 5
2021-12-31,7.0,Scenario 5
2022-01-31,8.0,Scenario 5
2022-02-28,8.0,Scenario 5
2022-03-31,8.0,Scenario 5
2022-04-30,8.0,Scenario 5
2022-05-31,8.0,Scenario 5
2022-06-30,8.0,Scenario 5
2022-07-31,8.0,Scenario 5
2022-08-31,8.0,Scenario 5
2022-09-30,8.0,Scenario 5
2022-10-31,8.0,Scenario 5
2022-11-30,8.0,Scenario 5
2022-12-31,8.0,Scenario 5
2023-01-31,9.0,Scenario 5
2023-02-28,9.0,Scenario 5
2023-03-31,9.0,Scenario 5
2023-04-30,9.0,Scenario 5
2023-05-31,9.0,Scenario 5
2023-06-30,9.0,Scenario 5
2023-07-31,9.0,Scenario 5
2023-08-31,9.0,Scenario 5
2023-09-30,9.0,Scenario 5
2023-10-31,9.0,Scenario 5
2023-11-30,9.0,Scenario 5
2023-12-31,9.0,Scenario 5
2024-01-31,10.0,Scenario 5
2024-02-29,10.0,Scenario 5
2024-03-31,10.0,Scenario 5
2024-04-30,10.0,Scenario 5
2024-05-31,10.0,Scenario 5
2024-06-30,10.0,Scenario 5
2024-07-31,10.0,Scenario 5
2024-08-31,10.0,Scenario 5
2024-09-30,10.0,Scenario 5
2024-10-31,10.0,Scenario 5
2024-11-30,10.0,Scenario 5
2024-12-31,10.0,Scenario 5
2020-01-31,15.0,Scenario 6
2020-02-29,10.0,Scenario 6
2020-03-31,10.0,Scenario 6
2020-04-30,15.0,Scenario 6
2020-05-31,10.0,Scenario 6
2020-06-30,10.0,Scenario 6
2020-07-31,15.0,Scenario 6
2020-08-31,10.0,Scenario 6
2020-09-30,10.0,Scenario 6
2020-10-31,15.0,Scenario 6
2020-11-30,10.0,Scenario 6
2020-12-31,10.0,Scenario 6
2021-01-31,16.0,Scenario 6
2021-02-28,11.0,Scenario 6
2021-03-31,11.0,Scenario 6
2021-04-30,16.0,Scenario 6
2021-05-31,11.0,Scenario 6
2021-06-30,11.0,Scenario 6
2021-07-31,16.0,Scenario 6
2021-08-31,11.0,Scenario 6
2021-09-30,11.0,Scenario 6
2021-10-31,16.0,Scenario 6
2021-11-30,11.0,Scenario 6
2021-12-31,11.0,Scenario 6
2022-01-31,17.0,Scenario 6
2022-02-28,12.0,Scenario 6
2022-03-31,12.0,Scenario 6
2022-04-30,17.0,Scenario 6
2022-05-31,12.0,Scenario 6
2022-06-30,12.0,Scenario 6
2022-07-31,17.0,Scenario 6
2022-08-31,12.0,Scenario 6
2022-09-30,12.0,Scenario 6
2022-10-31,17.0,Scenario 6
2022-11-30,12.0,Scenario 6
2022-12-31,12.0,Scenario 6
2023-01-31,18.0,Scenario 6
2023-02-28,13.0,Scenario 6
2023-03-31,13.0,Scenario 6
2023-04-30,18.0,Scenario 6
2023-05-31,13.0,Scenario 6
2023-06-30,13.0,Scenario 6
2023-07-31,18.0,Scenario 6
2023-08-31,13.0,Scenario 6
2023-09-30,13.0,Scenario 6
2023-10-31,18.0,Scenario 6
2023-11-30,13.0,Scenario 6
2023-12-31,13.0,Scenario 6
2024-01-31,19.0,Scenario 6
2024-02-29,14.0,Scenario 6
2024-03-31,14.0,Scenario 6
2024-04-30,19.0,Scenario 6
2024-05-31,14.0,Scenario 6
2024-06-30,14.0,Scenario 6
2024-07-31,19.0,Scenario 6
2024-08-31,14.0,Scenario 6
2024-09-30,14.0,Scenario 6
2024-10-31,19.0,Scenario 6
2024-11-30,14.0,Scenario 6
2024-12-31,14.0,Scenario 6
2020-01-31,5.0,Scenario 7
2020-02-29,5.1,Scenario 7
2020-03-31,5.202,Scenario 7
2020-04-30,5.306040000000001,Scenario 7
2020-05-31,5.4121608,Scenario 7
2020-06-30,5.5204040160000005,Scenario 7
2020-07-31,5.630812096320001,Scenario 7
2020-08-31,5.7434283382464,Scenario 7
2020-09-30,5.858296905011329,Scenario 7
2020-10-31,5.975462843111555,Scenario 7
2020-11-30,6.094972099973787,Scenario 7
2020-12-31,6.216871541973262,Scenario 7
2021-01-31,5.5,Scenario 7
2021-02-28,5.61,Scenario 7
2021-03-31,5.7222,Scenario 7
2021-04-30,5.836644000000001,Scenario 7
2021-05-31,5.95337688,Scenario 7
2021-06-30,6.0724444176,Scenario 7
2021-07-31,6.193893305952001,Scenario 7
2021-08-31,6.3177711720710406,Scenario 7
2021-09-30,6.444126595512461,Scenario 7
2021-10-31,6.573009127422711,Scenario 7
2021-11-30,6.704469309971166,Scenario 7
2021-12-31,6.838558696170589,Scenario 7
2022-01-31,6.050000000000001,Scenario 7
2022-02-28,6.171000000000001,Scenario 7
2022-03-31,6.294420000000001,Scenario 7
2022-04-30,6.4203084000000015,Scenario 7
2022-05-31,6.548714568,Scenario 7
2022-06-30,6.679688859360001,Scenario 7
2022-07-31,6.813282636547201,Scenario 7
2022-08-31,6.9495482892781455,Scenario 7
2022-09-30,7.088539255063709,Scenario 7
2022-10-31,7.230310040164983,Scenario 7
2022-11-30,7.374916240968282,Scenario 7
2022-12-31,7.522414565787648,Scenario 7
2023-01-31,6.655000000000002,Scenario 7
2023-02-28,6.788100000000002,Scenario 7
2023-03-31,6.923862000000002,Scenario 7
2023-04-30,7.062339240000004,Scenario 7
2023-05-31,7.203586024800002,Scenario 7
2023-06-30,7.347657745296003,Scenario 7
2023-07-31,7.494610900201922,Scenario 7
2023-08-31,7.644503118205961,Scenario 7
2023-09-30,7.797393180570081,Scenario 7
2023-10-31,7.953341044181482,Scenario 7
2023-11-30,8.112407865065112,Scenario 7
2023-12-31,8.274656022366415,Scenario 7
2024-01-31,7.320500000000002,Scenario 7
2024-02-29,7.466910000000002,Scenario 7
2024-03-31,7.616248200000002,Scenario 7
2024-04-30,7.768573164000003,Scenario 7
2024-05-31,7.923944627280002,Scenario 7
2024-06-30,8.082423519825602,Scenario 7
2024-07-31,8.244071990222114,Scenario 7
2024-08-31,8.408953430026557,Scenario 7
2024-09-30,8.577132498627089,Scenario 7
2024-10-31,8.74867514859963,Scenario 7
2024-11-30,8.923648651571623,Scenario 7
2024-12-31,9.102121624603056,Scenario 7
2020-01-31,10.0,Scenario 8
2020-02-29,5.0,Scenario 8
2020-03-31,5.0,Scenario 8
2020-04-30,5.0,Scenario 8
2020-05-31,5.0,Scenario 8
2020-06-30,10.0,Scenario 8
2020-07-31,5.0,Scenario 8
2020-08-31,5.0,Scenario 8
2020-09-30,5.0,Scenario 8
2020-10-31,5.0,Scenario 8
2020-11-30,10.0,Scenario 8
2020-12-31,5.0,Scenario 8
2021-01-31,6.0,Scenario 8
2021-02-28,6.0,Scenario 8
2021-03-31,6.0,Scenario 8
2021-04-30,12.0,Scenario 8
2021-05-31,6.0,Scenario 8
2021-06-30,6.0,Scenario 8
2021-07-31,6.0,Scenario 8
2021-08-31,6.0,Scenario 8
2021-09-30,12.0,Scenario 8
2021-10-31,6.0,Scenario 8
2021-11-30,6.0,Scenario 8
2021-12-31,6.0,Scenario 8
2022-01-31,7.0,Scenario 8
2022-02-28,14.0,Scenario 8
2022-03-31,7.0,Scenario 8
2022-04-30,7.0,Scenario 8
2022-05-31,7.0,Scenario 8
2022-06-30,7.0,Scenario 8
2022-07-31,14.0,Scenario 8
2022-08-31,7.0,Scenario 8
2022-09-30,7.0,Scenario 8
2022-10-31,7.0,Scenario 8
2022-11-30,7.0,Scenario 8
2022-12-31,14.0,Scenario 8
2023-01-31,8.0,Scenario 8
2023-02-28,8.0,Scenario 8
2023-03-31,8.0,Scenario 8
2023-04-30,8.0,Scenario 8
2023-05-31,16.0,Scenario 8
2023-06-30,8.0,Scenario 8
2023-07-31,8.0,Scenario 8
2023-08-31,8.0,Scenario 8
2023-09-30,8.0,Scenario 8
2023-10-31,16.0,Scenario 8
2023-11-30,8.0,Scenario 8
2023-12-31,8.0,Scenario 8
2024-01-31,9.0,Scenario 8
2024-02-29,9.0,Scenario 8
2024-03-31,18.0,Scenario 8
2024-04-30,9.0,Scenario 8
2024-05-31,9.0,Scenario 8
2024-06-30,9.0,Scenario 8
2024-07-31,9.0,Scenario 8
2024-08-31,18.0,Scenario 8
2024-09-30,9.0,Scenario 8
2024-10-31,9.0,Scenario 8
2024-11-30,9.0,Scenario 8
2024-12-31,9.0,Scenario 8
2020-01-31,5.0,Scenario 9
2020-02-29,5.7,Scenario 9
2020-03-31,6.4,Scenario 9
2020-04-30,7.1,Scenario 9
2020-05-31,7.8,Scenario 9
2020-06-30,8.5,Scenario 9
2020-07-31,9.2,Scenario 9
2020-08-31,9.9,Scenario 9
2020-09-30,10.6,Scenario 9
2020-10-31,11.3,Scenario 9
2020-11-30,12.0,Scenario 9
2020-12-31,15.7,Scenario 9
2021-01-31,13.4,Scenario 9
2021-02-28,14.1,Scenario 9
2021-03-31,14.8,Scenario 9
2021-04-30,15.5,Scenario 9
2021-05-31,16.2,Scenario 9
2021-06-30,16.9,Scenario 9
2021-07-31,17.6,Scenario 9
2021-08-31,18.3,Scenario 9
2021-09-30,19.0,Scenario 9
2021-10-31,19.7,Scenario 9
2021-11-30,20.4,Scenario 9
2021-12-31,24.1,Scenario 9
2022-01-31,21.8,Scenario 9
2022-02-28,22.5,Scenario 9
2022-03-31,23.2,Scenario 9
2022-04-30,23.9,Scenario 9
2022-05-31,24.6,Scenario 9
2022-06-30,25.3,Scenario 9
2022-07-31,26.0,Scenario 9
2022-08-31,26.7,Scenario 9
2022-09-30,27.4,Scenario 9
2022-10-31,28.1,Scenario 9
2022-11-30,28.8,Scenario 9
2022-12-31,32.5,Scenario 9
2023-01-31,30.2,Scenario 9
2023-02-28,30.9,Scenario 9
2023-03-31,31.6,Scenario 9
2023-04-30,32.3,Scenario 9
2023-05-31,33.0,Scenario 9
2023-06-30,33.7,Scenario 9
2023-07-31,34.4,Scenario 9
2023-08-31,35.099999999999994,Scenario 9
2023-09-30,35.8,Scenario 9
2023-10-31,36.5,Scenario 9
2023-11-30,37.2,Scenario 9
2023-12-31,40.9,Scenario 9
2024-01-31,38.6,Scenario 9
2024-02-29,39.3,Scenario 9
2024-03-31,40.0,Scenario 9
2024-04-30,40.7,Scenario 9
2024-05-31,41.4,Scenario 9
2024-06-30,42.1,Scenario 9
2024-07-31,42.8,Scenario 9
2024-08-31,43.5,Scenario 9
2024-09-30,44.2,Scenario 9
2024-10-31,44.9,Scenario 9
2024-11-30,45.6,Scenario 9
2024-12-31,49.3,Scenario 9
